0 0.000000 0.000000 
716.923 0.000060 1.089009 1
156.451 0.000283 -19.498840 2
1443.36 0.000335 38.859279 3
437.852 0.000569 -51.893546 4
840.722 0.000665 -40.591202 5
179.527 0.001246 3.946458 6
188.773 0.001470 20.036114 7
655.02 0.001823 25.886461 8
1370.59 0.002355 36.585958 9
301.2 0.002424 -50.866976 10
780.383 0.002488 46.939997 11
1003.69 0.002727 -35.960225 12
326200 0.002780 -22.594705 13
671.193 0.003228 -0.360450 14
1707.85 0.003356 50.791187 15
445.02 0.003401 -40.192392 17
2452.63 0.003469 -54.914363 16
146.212 0.003522 -4.053680 18
813.466 0.003554 38.304050 19
315.169 0.004203 23.529228 20
617.803 0.004426 8.007234 21
1038.85 0.004674 -49.352266 22
281.45 0.004971 13.312234 23
344.093 0.005091 -23.452695 24
265.419 0.005300 -44.290561 25
328.831 0.005606 -13.393378 26
351.13 0.005720 -41.297813 27
645.941 0.005815 -43.361821 28
1342.39 0.006146 -49.107945 29
797.555 0.006408 42.141474 30
1000.61 0.006539 2.675477 31
1076.57 0.006572 51.939487 32
371.103 0.006611 -10.462385 33
243.433 0.006638 26.918108 34
474.128 0.006864 -14.490484 35
601.845 0.006893 12.267128 36
1245.04 0.007022 -47.179567 37
137.987 0.007429 -79.061983 38
301.758 0.007485 -16.697009 39
1190.51 0.007771 54.302236 41
326200 0.008131 67.216783 40
533.007 0.008362 25.844765 42
444.414 0.008593 59.559679 43
1094.63 0.008850 -3.306323 44
203.24 0.008941 -72.202717 45
2718.33 0.008972 -25.622285 46
132.926 0.009006 -56.835602 47
2189.26 0.009015 -40.690474 48
1226.32 0.009304 16.669049 49
193.821 0.009533 -53.097713 50
326200 0.009561 1.066213 51
683.857 0.009781 -77.020116 52
326200 0.009828 -29.263414 53
163.755 0.010170 17.968908 54
211.818 0.010549 -66.683173 55
827.919 0.010862 0.222931 56
97.4314 0.011212 -69.675965 57
126.581 0.011577 62.175898 58
326200 0.011630 55.722460 59
561.446 0.011695 -64.465799 60
583.542 0.011749 53.822146 61
1006.79 0.011998 -45.422739 62
613.158 0.012119 45.253334 63
795.61 0.012305 -27.907582 64
178.446 0.012498 -54.830524 65
415.013 0.012567 -72.318220 66
490.526 0.013288 23.538219 67
103.032 0.013360 16.988197 68
596.344 0.013427 30.395890 69
549.158 0.013512 36.777637 70
446.849 0.013803 36.780106 71
286.643 0.014661 -12.828961 72
913.725 0.014694 66.848011 73
145.236 0.014817 35.752624 74
2091.03 0.014882 -50.446459 75
1128.72 0.015214 32.825654 76
681.002 0.015371 -30.064166 77
2313.48 0.015487 17.867851 78
884.011 0.015718 35.316720 79
238.45 0.016187 -11.823739 80
142.819 0.016228 -4.932534 81
326200 0.016534 -10.935963 82
1772.83 0.016538 52.080562 83
155.853 0.016824 27.886330 84
994.512 0.017075 -24.714048 85
888.828 0.017361 69.603505 86
1109.52 0.017433 -5.835002 87
593.091 0.017941 -48.809876 88
1896.51 0.018477 53.166943 89
369.422 0.018671 -41.887544 90
982.53 0.018702 -5.874348 91
1320.65 0.019379 -20.705550 92
199.633 0.019490 -0.076098 93
296.007 0.019665 -32.756836 94
486.866 0.020134 -11.964034 95
114.657 0.020330 13.975088 96
570.28 0.020478 -52.798575 98
587.748 0.020492 -21.404042 97
2861.4 0.021069 60.355282 99
600.737 0.021092 19.741243 100
391.597 0.021315 -47.793831 101
929.345 0.021365 -41.487437 102
358.462 0.021475 -68.371127 103
318.555 0.021776 -31.899618 104
901.105 0.021855 70.928938 105
651.098 0.022013 49.981558 106
542.762 0.022255 -50.337373 107
326200 0.022439 -70.125272 108
563.385 0.023106 6.791470 109
161.886 0.023242 39.610717 110
125.558 0.023314 34.281848 111
104.787 0.023843 -16.948446 112
326200 0.024375 49.010406 113
384.217 0.024777 30.735785 114
842.894 0.024839 -62.923130 115
408.772 0.025022 -33.792771 116
3048.6 0.025363 -72.605899 117
253.261 0.025773 -9.430033 118
507.31 0.026012 44.675401 119
1347.93 0.026396 -45.344759 120
738.009 0.026429 28.423691 121
217.177 0.026616 -77.065724 122
551.946 0.026675 72.236615 123
3077.36 0.026949 61.222801 124
724.889 0.026979 -39.336748 125
979.58 0.027255 14.632324 126
276.675 0.027479 -48.935619 127
230.856 0.027597 73.611846 128
545.485 0.027708 5.372808 129
997.554 0.027886 -30.692537 130
408.26 0.027994 62.018087 131
