id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
63,63,224801,9080,,,,0.012119,45.253334,613.158,17.38,0.22,-3.0,6.360,-0.010,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-0.00000235,0.00001583,-0.00000204,0.003172863280404705,0.7898196673326625,0.00000008426061768055556,0.00000000106659,,,And,1,63,,87.90225168308842,CG,6.382,6.322
76,76,,,,,,0.015214,32.825654,1128.72,-1.98,-8.45,0.0,9.030,1.334,M0,1.670,290.767266,1.158155,187.572518,0.00000770,-0.00000329,-0.00001191,0.003983096006029844,0.572915739540885,-0.000000009599310875,-0.000000040966756,,,And,1,76,,25.491770505091193,V401,9.079,8.979
262,262,,,,,,0.055061,32.845864,592.015,52.20,-2.29,0.0,9.040,2.746,F0V,0.422,152.458331,2.197913,98.435731,0.00000043,0.00004594,-0.00000169,0.014415060386485937,0.5732684718554613,0.00000025307274125,-0.000000011102233,,,And,1,262,,6.943844712409818,TW,9.517,8.987
344,344,225192,,,,,0.072243,40.109948,605.195,-4.17,-2.78,-88.7,10.660,4.318,M5e-M7e,1.500,141.868214,2.683473,119.527612,-0.00006769,-0.00000503,-0.00006036,0.018913048103608308,0.700050661069075,-0.00000002021673047916667,-0.00000001347782,,,And,1,344,,1.6323000728189951,SV,12.153,8.873
363,363,225217,,,,,0.076780,43.551312,867.553,-4.57,-2.54,-6.0,8.120,0.996,C5II,2.530,192.715672,3.874271,183.245654,-0.00000207,-0.00000593,-0.00000660,0.02010092513512949,0.7601137932501637,-0.00000002215598520138889,-0.000000012314267,,,And,1,363,,34.801663221500384,SU,8.254,8.004
543,544,166,8,Gl 5,,,0.110209,29.021502,44.5932,379.94,-178.34,-5.5,6.070,5.391,K0V,0.752,11.948982,0.344882,6.632053,0.00000009,0.00002519,-0.00001306,0.028852628509606647,0.5065207576037262,0.0000018420010979027778,-0.000000864616717,,,And,1,543,,0.6075751461057411,V439,6.091,6.051
589,590,,,,,,0.119495,34.853794,1294.44,1.00,-0.56,0.0,8.860,0.867,M5,1.552,325.480753,10.185561,226.779478,0.00000056,0.00000194,-0.00000088,0.031283678421197045,0.608313465244135,0.0000000048481368055555555,-0.000000002714956,,,And,1,589,,39.192232245497664,V341,9.054,8.744
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,97.0256,135.68,-162.95,-12.0,2.070,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.00002650,0.03659716270801555,0.5077238184659449,0.0000006577952017777778,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
814,817,556,,,,,0.167553,46.390314,488.323,10.98,-16.28,-16.0,7.510,1.634,A3+...,0.251,103.155363,4.527858,108.391404,-0.00000308,0.00000784,-0.00002000,0.0438652117847436,0.8096637133829137,0.000000053232542125,-0.000000078927667,,,And,1,814,,19.337485452952553,V342,7.596,7.486
839,841,571,27,,22    And,,0.172012,46.072272,1230.94,4.51,0.21,-5.0,5.010,-2.874,F2II,0.405,261.527194,11.785276,271.779391,-0.00000419,0.00000807,-0.00000342,0.04503274031959869,0.8041128329084449,0.000000021865096993055556,0.000000001018108,,22,And,1,839,,1229.1361730601686,,,
880,882,640,,,,,0.179777,32.242575,2609.6,10.51,0.99,0.0,7.550,-1.965,M...,1.354,675.888272,31.834648,426.803934,-0.00000396,0.00004062,0.00000325,0.04706559484678098,0.5627390989969813,0.000000050953917826388886,0.000000004799655,,,And,1,880,,532.1082592667942,V343,7.89,7.38
917,919,691,,,,,0.189561,30.449575,111.559,210.73,35.26,-3.3,7.950,5.280,K0V,0.755,29.446399,1.462575,17.331704,-0.00000760,0.00003460,0.00000333,0.04962685741885405,0.5314453377714013,0.0000010216478690347222,0.000000170945303,,,And,1,917,,0.6729766562843174,V344,7.994,7.934
986,988,775,,,,,0.204388,43.818205,326200,1.35,-2.96,0.0,7.950,-12.050,M...,1.537,72050.757117,3859.020832,69237.246891,0.00095708,0.00070664,-0.00103536,0.05350860526861602,0.764771949433265,0.0000000065449846875,-0.000000014350484,,,And,1,986,,5754399.373371567,V345,8.015,7.765
1028,1030,829,38,,,,0.213957,37.693656,1812.22,0.50,-2.74,-10.0,6.710,-2.014,B2V,-0.116,438.916744,24.611131,339.688547,-0.00000365,0.00000114,-0.00001209,0.05601377421059853,0.6578784107659276,0.0000000024240684027777777,-0.000000013283894,,,And,1,1028,,556.672798150948,V470,6.72,6.7
1084,1086,905,41,,23    And,,0.225240,41.035370,113.857,-122.76,-146.91,-29.0,5.710,2.996,F0IV,0.331,26.282289,1.551559,22.915172,-0.00000482,-0.00002109,-0.00003822,0.05896766937385031,0.7162023089019425,-0.00000059515727425,-0.000000712239778,,23,And,1,1084,,5.515691912608027,,,
1108,1110,,,,,,0.230429,25.551942,326200,-4.10,-7.55,0.0,9.480,-10.520,M2,1.580,90055.346631,5439.302941,43132.916975,0.00169564,-0.00188877,-0.00330206,0.0603262870730921,0.44596552171997,-0.000000019877360902777776,-0.000000036603432,,,And,1,1108,,1406047.524129913,V347,9.62,9.25
1109,1112,928,,,,,0.230621,36.860273,326200,1.47,-6.85,0.0,8.900,-11.100,K5,1.633,79864.291964,4827.782911,59986.560005,0.00194534,0.00083151,-0.00265688,0.060376344359159666,0.6433331194148012,0.0000000071267611041666666,-0.000000033209737,,,And,1,1109,,2398832.91901949,V346,8.986,8.866
1231,1233,1082,,,,,0.254953,44.203397,1080.13,6.82,-0.66,-6.0,6.760,-0.840,B9,-0.046,236.845306,15.832156,230.863388,-0.00000438,0.00001068,-0.00000504,0.06674656631256388,0.7714948130020125,0.000000033064293013888893,-0.00000000319977,,,And,1,1231,,188.79913490962926,V348,6.785,6.745
1287,1289,,,,,,0.269286,47.892842,326200,-3.18,-11.70,0.0,8.830,-11.170,M0,1.601,66885.373341,4723.167055,74189.207611,0.00430602,-0.00124134,-0.00380307,0.07049888210059338,0.835887777672,-0.000000015417075041666668,-0.0000000567232,,,And,1,1287,,2558585.886905648,V349,8.885,8.775
1363,1366,1280,63,,24The And,,0.284863,38.681636,308.902,-50.01,-17.90,1.0,4.610,-0.272,A2V,0.059,73.717927,5.507828,59.184918,0.00000763,-0.00002245,-0.00000578,0.0745769335159356,0.67512190066058,-0.00000024245532164583333,-0.000000086781648,The,24,And,1,1363,,111.8922481955243,,,
1470,1473,1404,68,,25Sig And,,0.305463,36.785224,134.793,-66.51,-42.48,-8.0,4.510,1.429,A2V,0.054,32.988623,2.643715,24.744457,-0.00000039,-0.00001340,-0.00001171,0.07997000556618429,0.6420232749475537,-0.00000032244957893749997,-0.000000205948851,Sig,25,And,1,1470,,23.356082466252186,,,
1472,1475,1326,,Gl 15A,,,0.306174,44.022954,11.7018,2888.92,410.58,12.0,8.090,10.316,M1V,1.560,2.571275,0.206670,2.493057,-0.00000017,0.00005039,0.00001366,0.08015620544457767,0.7683454902950787,0.000014005879380305557,0.000001990548009,,,And,1,1472,Gl  15,0.006510284984348607,GX,8.125,8.065
1498,1501,1438,70,,26    And,,0.311712,43.791141,661.663,23.31,-2.72,7.0,6.100,-0.436,B8V,-0.074,145.936160,11.935836,140.371588,0.00000513,0.00002342,0.00000302,0.0816060408381032,0.764299595614345,0.00000011301006893749998,-0.000000013186932,,26,And,1,1498,,130.1367630107464,,,
1589,1593,1546,,,,,0.331673,44.709416,1284.25,-19.85,-9.28,9.0,7.520,-0.456,C8,1.600,278.742737,24.264628,276.973100,0.00002222,-0.00003609,-0.00000611,0.08683171793923859,0.7803265153312963,-0.0000000962355155902778,-0.000000044990709,,,And,1,1589,,132.55618607198585,VX,7.762,7.302
1682,1686,1671,82,,27Rho And,,0.352017,37.968603,158.35,58.32,-39.65,9.0,5.160,1.729,F5III,0.442,38.106993,3.521856,29.865569,0.00001168,0.00001486,-0.00000169,0.09215774000421187,0.6626771359995399,0.0000002827433385,-0.000000192228624,Rho,27,And,1,1682,,17.717400399431227,,,
1795,1799,1826,,,,,0.380520,29.454280,380.186,82.08,-9.82,4.4,6.950,1.617,A3,0.212,100.982675,10.093344,57.311070,0.00000200,0.00004681,-0.00000262,0.09961985493185374,0.5140741574238488,0.000000397935069,-0.000000047608703,,,And,1,1795,,19.642646458798552,LR,6.967,6.927
1874,1878,,,,,,0.395303,29.401006,2204.05,-5.09,-19.21,0.0,9.710,0.561,F8IIIvar,0.442,585.502701,60.810962,331.702074,0.00003245,-0.00001339,-0.00005482,0.10349008907610703,0.513144360088805,-0.00000002467701634027778,-0.000000093132708,,,And,1,1874,,51.95172830110675,SW,10.045,9.055
1897,1901,1967,90,,,,0.400542,38.577035,1259.46,-16.33,-35.00,-11.0,10.710,2.776,S66ev,2.080,300.183822,31.593560,240.759139,0.00003508,-0.00002704,-0.00005823,0.10486152526185219,0.673296283258105,-0.0000000791700740347222,-0.000000169684788,,,And,1,1897,,6.75460566633501,R,11.015,8.045
2050,2054,2189,,,,,0.434080,35.819292,676.764,17.85,-1.65,0.0,7.530,0.945,A3,0.140,167.144511,19.076846,121.417177,-0.00000107,0.00001795,-0.00000135,0.11364192021836732,0.6251645830050313,0.00000008653924197916668,-0.000000007999425,,,And,1,2050,,36.47539469256078,V350,7.58,7.51
2175,2180,2342,,,,,0.458801,35.587359,326200,-4.83,-13.93,-14.0,7.670,-12.330,N0v,2.100,80736.986095,9744.535253,58194.356117,0.00417048,-0.00185508,-0.00549996,0.12011386410561826,0.6211165840727312,-0.00000002341650077083333,-0.000000067534545,,,And,1,2175,,7447319.739059889,AQ,7.903,7.493
2210,2216,,,,,,0.467045,27.097402,1331.43,5.14,-4.21,0.0,9.330,1.276,M5,1.510,360.647807,44.318212,185.920238,0.00000253,0.00001056,-0.00000742,0.12227198504495283,0.47293888840676873,0.000000024919423180555554,-0.000000020410655,,,And,1,2210,,26.890569500292507,V351,9.573,9.203
2237,2243,2453,,,,,0.474604,32.437745,723.282,-26.66,-19.52,-18.0,6.870,0.141,A2p...,0.106,185.691311,23.191762,118.931825,-0.00000070,-0.00002897,-0.00002758,0.12425099705088669,0.5661454459382375,-0.00000012925132723611111,-0.00000009463563,,,And,1,2237,,76.48917910070716,GR,6.882,6.862
2279,2285,,,,,,0.486429,44.995058,1230.94,0.67,0.88,0.0,9.010,1.126,M0,1.575,264.694862,33.891462,266.809738,-0.00000128,0.00000107,0.00000114,0.12734683442220204,0.7853119103306501,0.000000003248251659722222,0.00000000426636,,,And,1,2279,,30.87450475587447,V352,9.066,8.946
2349,2355,2628,114,,28    And,,0.502045,29.751557,204.771,43.56,-57.18,-10.0,5.200,1.211,A7III,0.271,54.029838,7.142605,31.151228,-0.00000198,0.00001311,-0.00002018,0.13143501186734344,0.5192626203559575,0.00000021118483925000002,-0.000000277216462,,28,And,1,2349,,28.54959816900407,GN,5.223,5.173
2378,2384,,,,,,0.507285,40.369157,836.41,-5.63,-3.65,0.0,9.410,2.365,M0,1.747,193.635417,25.868391,166.079481,0.00000384,-0.00000655,-0.00000346,0.13280700816866062,0.7045747091626338,-0.000000027295010215277775,-0.000000017695699,,,And,1,2378,,9.8627948563121,V353,9.491,9.341
2540,2546,2890,,,,,0.539647,26.029427,1965.06,-6.05,-1.29,0.0,9.850,0.951,M5e,1.500,535.913249,76.221209,264.357036,0.00000412,-0.00001726,-0.00000339,0.14127926135175786,0.45429920427666,-0.00000002933122767361111,-0.000000006254096,,,And,1,2540,,36.27438014764577,TU,12.043,8.403
2645,2651,,,,,,0.560227,39.884231,786.024,3.71,-3.66,0.0,8.520,1.610,K0,1.147,182.916468,27.021887,154.515321,0.00000208,0.00000469,-0.00000328,0.14666717438264107,0.6961111457384249,0.000000017986587548611112,-0.00000001774418,,,And,1,2645,,19.76969640111861,V354,8.611,8.481
2859,2865,3322,149,,,,0.605583,27.254763,710.675,17.36,-11.67,1.0,6.510,-0.181,B8IIIMNp...,-0.070,191.248365,30.577390,99.770760,0.00000358,0.00001914,-0.00001049,0.15854123243198076,0.47568535294463504,0.00000008416365494444445,-0.000000056577756,,,And,1,2859,,102.89635722967539,PY,6.53,6.5
